time,latitude,longitude,height
562.1111,52.8279057,0.7216847,238.984
562.22456,52.8278988,0.7217246,238.978
562.30022,52.8278919,0.7217642,238.994
562.4136801,52.8278851,0.721804,238.99
562.52718,52.8278781,0.7218437,239.028
562.6029501,52.8278713,0.7218835,239.008
562.71626,52.8278645,0.7219233,238.957
562.82973,52.8278577,0.721963,238.899
562.9054401,52.827851,0.7220025,238.892
563.0188501,52.8278443,0.7220421,238.955
563.0945601,52.8278374,0.7220817,239.065
563.2079601,52.8278304,0.7221213,239.191
563.32143,52.8278235,0.7221611,239.317
563.43489,52.8278164,0.7222009,239.449
563.51054,52.8278093,0.7222405,239.603
563.62398,52.8278019,0.7222801,239.817
563.69963,52.8277946,0.7223193,240.058
563.8131599,52.8277871,0.7223585,240.339
563.92662,52.8277794,0.7223979,240.587
564.00227,52.8277716,0.7224375,240.854
564.1157701,52.8277635,0.7224771,241.158
564.1916699,52.8277554,0.7225165,241.454
564.3048902,52.8277473,0.7225564,241.739
564.41835,52.8277394,0.7225959,242.02
564.5318201,52.8277314,0.7226355,242.291
564.60744,52.8277233,0.7226753,242.599
564.7209001,52.8277152,0.7227151,242.908
564.79668,52.8277073,0.7227548,243.25
564.9100201,52.8276992,0.7227946,243.547
565.0234799,52.8276912,0.7228339,243.87
565.0991402,52.827683,0.7228737,244.152
565.2504101,52.8276749,0.7229132,244.407
565.3260701,52.8276669,0.7229526,244.678
565.40172,52.8276589,0.7229923,244.897
565.5151801,52.8276509,0.7230319,245.11
565.5908101,52.827643,0.7230714,245.334
565.7042701,52.8276351,0.723111,245.567
565.8177299,52.8276273,0.7231506,245.799
565.9690402,52.8276196,0.7231902,246.024
566.00685,52.8276118,0.7232299,246.252
566.1203201,52.8276041,0.7232694,246.467
566.1959701,52.8275965,0.7233089,246.69
566.3094602,52.8275889,0.7233485,246.939
566.42293,52.8275813,0.7233881,247.193
566.49858,52.8275737,0.7234278,247.476
566.6120501,52.8275661,0.7234674,247.751
566.7256,52.8275585,0.7235069,248.019
566.8011601,52.8275509,0.7235466,248.347
566.9146302,52.8275433,0.7235861,248.667
567.02812,52.8275356,0.7236262,248.97
567.10375,52.8275279,0.723666,249.261
567.2172101,52.8275202,0.7237057,249.561
567.33077,52.8275125,0.7237454,249.867
567.44417,52.8275046,0.7237854,250.142
567.51985,52.8274968,0.7238251,250.413
567.6332901,52.8274889,0.7238649,250.685
567.70894,52.827481,0.723905,250.943
567.8224001,52.8274729,0.7239452,251.192
567.9358702,52.827465,0.7239851,251.39
